Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Teotihuacan Mexican Cafe
                                    ", 1511 Airline Drive 77009,292 votes,4.8,Cost for two:$30,-95.3822177,29.7989293,Mexican,Houston
"Alicia's Mexican Grille
                                    "," 26326 NW Freeway, Cypress 77429",224 votes,4.2,Cost for two:$75,-95.7013171,29.9749482,Mexican,Houston
"El Tiempo Cantina
                                    ", 5602 Washington Avenue 77007,230 votes,4.5,Cost for two:$35,-95.4187874,29.7710151,Mexican,Houston
"Lupe Tortilla
                                    "," 318 Stafford Street, Houston 77079",200 votes,4.3,Cost for two:$75,-95.6430429,29.7827555,Mexican,Houston
"Guadalajara Del Centro
                                    "," 1201 San Jacinto Street, Houston 77002",116 votes,4.2,Cost for two:$70,-95.3644994,29.7537638,Mexican,Houston
"Arnaldo Richard's Picos
                                    "," 3601 Kirby Drive, Upper Kirby District 77098",113 votes,4.1,Cost for two:$75,-95.4180509,29.7337013,Mexican,Houston
"Lopez Mexican
                                    "," 11606 Wilcrest Drive, Houston 77099",108 votes,4.5,Cost for two:$50,-95.5708759,29.653024,Mexican,Houston
"Tortuga Coastal Cantina
                                    ", 6010 Seawall Boulevard 77551,96 votes,3.7,Cost for two:$25,-94.825778,29.2673526,Mexican,Houston
"Spanish Flowers Mexican Restaurant
                                    ", 4701 North Main Street 77009,127 votes,3.9,Cost for two:$40,-95.3819315,29.7970923,Mexican,Houston
"100% Taquito
                                    "," 3245 Southwest Fwy, Houston 77027",112 votes,4.1,Cost for two:$15,-95.4309729,29.7286629,Mexican,Houston
"Chacho's
                                    "," 6006 Westheimer Road, Houston 77057",110 votes,4,Cost for two:$15,-95.4877353,29.7381434,Mexican,Houston
"Tony's Mexican Restaurant
                                    ", 2222 Ella Boulevard 77008,99 votes,4.1,Cost for two:$50,-95.4288208,29.8064633,Mexican,Houston
"La Guadalupana Bakery and Cafe
                                    "," 2109 Dunlavy Street, Houston 77006",86 votes,4.1,Cost for two:$30,-95.4018496,29.7469016,Mexican,Houston
